Date,Product_ID,Product_Name,Store_ID,Category,Units_Sold,Selling_Price,Discount,Promotion,Holiday_Indicator,Temperature,Day_of_Week,Month,Year,Previous_Sales,Sales
2022-09-05,1047,Product_24,9,Grocery,246,114.67,13.3,No,No,5.7,0,9,2022,167,24457.05
2025-02-11,1024,Product_18,9,Grocery,246,165.76,17.9,No,No,0.4,1,2,2025,166,33477.88
2024-11-16,1008,Product_20,13,Grocery,533,16.53,34.5,No,No,-3.4,5,11,2024,393,5770.87
2023-06-16,1056,Product_32,9,Home,239,80.99,26.7,No,Yes,-3.0,4,6,2023,166,14188.4
2022-04-12,1023,Product_12,7,Clothing,66,283.35,30.5,No,No,3.6,1,4,2022,84,12997.26
2025-12-27,1059,Product_53,11,Clothing,388,328.28,23.3,No,No,22.4,5,12,2025,479,97694.81
2023-10-31,1068,Product_43,9,Electronics,14,326.21,39.7,No,No,-4.2,1,10,2023,34,2753.86
2025-09-01,1084,Product_45,12,Clothing,103,390.29,9.7,Yes,No,7.9,0,9,2025,109,36300.48
2024-10-13,1049,Product_10,8,Electronics,265,210.56,10.5,No,Yes,-2.4,6,10,2024,180,49939.57
2025-03-13,1000,Product_42,13,Grocery,62,140.38,3.7,Yes,No,13.2,3,3,2025,40,8381.53
2025-02-13,1028,Product_50,1,Clothing,393,12.71,22.2,No,No,-2.8,3,2,2025,450,3886.13
2022-10-19,1085,Product_11,1,Electronics,203,107.28,24.5,No,No,22.3,2,10,2022,182,16442.27
2023-06-30,1053,Product_45,2,Grocery,554,159.63,29.0,No,No,26.0,4,6,2023,393,62788.86
2023-12-02,1061,Product_22,8,Grocery,101,93.21,13.4,No,No,27.9,5,12,2023,75,8152.71
2024-01-17,1045,Product_47,10,Toys,157,14.97,0.5,No,No,5.1,2,1,2024,265,2338.54
2022-03-07,1016,Product_29,4,Toys,81,82.94,25.3,No,Yes,34.1,0,3,2022,72,5018.45
2024-03-30,1089,Product_48,3,Electronics,118,334.72,39.9,No,No,26.1,5,3,2024,123,23737.67
2022-08-20,1077,Product_9,13,Home,191,316.64,11.8,No,No,-2.5,5,8,2022,209,53341.81
2025-01-20,1099,Product_23,11,Home,333,468.16,7.4,No,No,14.8,0,1,2025,432,144360.88
2024-10-21,1085,Product_17,10,Grocery,181,400.09,11.3,No,No,29.5,0,10,2024,160,64233.25
2025-10-15,1029,Product_15,7,Clothing,413,286.04,17.0,Yes,No,9.0,2,10,2025,379,98051.65
2025-01-22,1025,Product_19,6,Home,121,73.09,10.0,Yes,No,12.2,2,1,2025,54,7959.5
2023-07-04,1024,Product_23,1,Grocery,168,284.22,13.9,No,Yes,23.3,1,7,2023,133,41111.85
2025-12-22,1091,Product_8,3,Electronics,441,35.49,25.5,Yes,No,-2.5,0,12,2025,306,11660.06
2023-09-09,1055,Product_42,13,Grocery,292,218.29,13.8,No,No,38.5,5,9,2023,239,54944.47
2023-05-04,1045,Product_33,5,Grocery,373,198.18,15.8,Yes,No,2.9,3,5,2023,255,62241.6
2025-09-20,1096,Product_49,10,Grocery,364,216.77,1.6,No,No,-3.8,5,9,2025,342,77641.81
2023-07-10,1060,Product_42,10,Grocery,55,143.51,36.7,Yes,No,-4.8,0,7,2023,47,4996.3
2022-04-25,1090,Product_9,5,Electronics,453,344.49,16.3,Yes,No,13.0,0,4,2022,350,130617.17
2023-12-06,1098,Product_5,3,Toys,275,421.27,13.1,No,No,34.8,2,12,2023,432,100673.0
2025-04-08,1007,Product_25,10,Electronics,421,385.42,3.5,No,Yes,31.9,1,4,2025,385,156582.66
2022-10-12,1036,Product_29,2,Home,135,315.74,25.4,No,No,36.0,2,10,2022,149,31798.18
2023-11-26,1073,Product_15,7,Home,213,271.48,34.6,No,Yes,19.0,6,11,2023,181,37817.71
2022-07-14,1081,Product_47,13,Home,469,20.39,1.6,Yes,No,15.2,3,7,2022,481,9409.9
2024-10-26,1014,Product_35,10,Toys,226,362.85,5.8,No,No,12.4,5,10,2024,397,77247.86
2023-12-15,1031,Product_45,11,Electronics,373,274.77,5.9,No,No,-2.9,4,12,2023,466,96442.35
2023-05-11,1054,Product_7,2,Grocery,754,139.02,24.1,Yes,No,35.9,3,5,2023,457,79559.2
2022-12-07,1079,Product_49,3,Electronics,300,167.28,36.8,No,No,17.3,2,12,2022,222,31716.29
2024-04-26,1011,Product_13,4,Clothing,58,468.13,17.5,No,No,15.5,4,4,2024,73,22400.02
2024-10-01,1060,Product_27,5,Home,105,314.06,13.8,No,No,18.2,1,10,2024,121,28425.57
2025-11-11,1029,Product_26,3,Toys,131,240.58,30.6,No,No,30.7,1,11,2025,154,21872.09
2023-10-18,1021,Product_49,14,Grocery,540,312.36,29.7,No,No,5.1,2,10,2023,419,118578.1
2022-08-30,1051,Product_17,3,Grocery,262,209.8,9.9,Yes,Yes,26.9,1,8,2022,145,49525.81
2025-06-03,1041,Product_15,10,Toys,110,237.74,6.4,No,No,27.0,1,6,2025,187,24477.71
2024-08-02,1063,Product_21,9,Home,369,148.7,14.3,No,No,33.2,4,8,2024,427,47023.85
2024-11-16,1031,Product_22,9,Home,140,222.73,31.0,Yes,No,-4.6,5,11,2024,90,21515.72
2022-05-26,1082,Product_11,4,Clothing,367,344.37,27.8,Yes,No,2.7,3,5,2022,335,91249.1
2023-04-14,1007,Product_11,5,Clothing,380,24.77,26.6,No,Yes,16.2,4,4,2023,280,6908.85
2025-02-25,1086,Product_14,9,Grocery,591,398.54,33.2,No,No,33.3,1,2,2025,492,157338.81
2025-06-02,1002,Product_28,5,Home,236,145.07,11.1,No,No,38.4,0,6,2025,249,30436.27
2023-10-15,1073,Product_21,10,Grocery,303,342.87,13.6,No,No,21.8,6,10,2023,265,89760.62
2025-04-22,1034,Product_24,1,Toys,277,323.15,1.7,No,No,4.5,1,4,2025,426,87990.84
2025-06-16,1038,Product_43,2,Electronics,524,328.05,34.7,No,No,3.3,0,6,2025,495,112249.52
2023-08-05,1001,Product_15,11,Clothing,318,306.02,23.3,No,No,23.8,5,8,2023,367,74640.11
2025-09-09,1070,Product_54,9,Grocery,455,479.76,11.9,No,No,4.5,1,9,2025,352,192314.19
2023-03-09,1016,Product_45,1,Home,429,256.63,2.8,Yes,No,19.9,3,3,2023,439,107011.63
2022-12-26,1065,Product_11,13,Home,579,367.5,28.9,Yes,No,32.6,0,12,2022,490,151288.36
2024-10-20,1072,Product_19,1,Toys,351,354.2,29.9,No,Yes,12.5,6,10,2024,370,87151.26
2024-08-13,1084,Product_11,14,Home,355,121.95,26.6,Yes,Yes,12.0,1,8,2024,153,31776.51
2022-07-29,1070,Product_17,11,Grocery,472,145.24,8.2,No,Yes,-3.4,4,7,2022,324,62931.91
2025-06-03,1030,Product_22,14,Grocery,208,214.89,36.5,No,No,6.4,1,6,2025,125,28382.67
2022-10-27,1073,Product_8,14,Toys,191,142.46,30.1,No,No,26.4,3,10,2022,255,19019.69
2025-04-22,1082,Product_1,5,Clothing,207,186.54,26.3,No,No,11.2,1,4,2025,227,28458.36
2022-01-12,1031,Product_26,11,Electronics,474,198.53,26.0,No,No,2.1,2,1,2022,493,69636.38
2025-04-10,1012,Product_42,3,Toys,304,303.91,36.2,Yes,No,-0.2,3,4,2025,281,58943.95
2025-03-26,1089,Product_18,7,Home,497,113.85,37.1,No,No,-0.7,2,3,2025,479,35590.99
2025-03-16,1014,Product_51,4,Electronics,461,403.12,23.8,Yes,No,24.7,6,3,2025,405,141608.8
2024-09-24,1059,Product_22,7,Home,564,221.58,16.7,No,Yes,22.6,1,9,2024,425,104100.94
2023-12-09,1023,Product_54,13,Home,94,354.59,14.5,Yes,No,18.3,5,12,2023,92,28498.4
2024-11-23,1012,Product_14,7,Home,520,45.31,32.8,Yes,No,17.5,5,11,2024,389,15833.13
2023-02-20,1077,Product_32,2,Toys,149,237.63,25.8,Yes,No,1.9,0,2,2023,133,26271.9
2025-03-17,1014,Product_46,5,Clothing,234,18.97,3.1,No,No,17.5,0,3,2025,293,4301.37
2024-04-13,1067,Product_4,12,Clothing,180,339.58,5.7,Yes,No,-2.3,5,4,2024,248,57640.31
2023-11-20,1069,Product_55,8,Home,177,175.14,36.0,No,No,36.7,0,11,2023,137,19839.86
2024-01-29,1006,Product_22,8,Electronics,519,474.88,35.4,No,No,-2.4,0,1,2024,492,159214.92
2024-05-03,1017,Product_30,7,Electronics,492,165.44,38.1,No,No,14.1,4,5,2024,438,50384.42
2022-02-25,1079,Product_38,5,Toys,271,284.08,17.1,No,Yes,-5.0,4,2,2022,291,63821.13
2022-07-29,1050,Product_38,9,Grocery,8,132.41,31.4,Yes,No,30.4,4,7,2022,15,726.67
2023-01-04,1012,Product_2,9,Clothing,104,311.96,33.1,No,No,2.5,2,1,2023,99,21704.93
2022-06-21,1099,Product_52,13,Grocery,164,236.19,12.6,No,Yes,36.6,1,6,2022,121,33854.53
2023-10-22,1026,Product_37,9,Grocery,512,188.46,5.8,No,No,-3.0,6,10,2023,486,90895.01
2024-09-29,1000,Product_59,14,Clothing,225,105.83,39.9,No,No,31.9,6,9,2024,207,14310.86
2024-09-08,1092,Product_28,12,Toys,52,60.2,1.2,No,No,24.5,6,9,2024,32,3092.84
2023-12-08,1001,Product_37,2,Clothing,255,64.34,23.9,No,No,6.2,4,12,2023,297,12485.5
2025-07-06,1055,Product_27,6,Electronics,628,499.52,26.0,Yes,No,4.1,6,7,2025,475,232136.93
2024-04-27,1099,Product_53,6,Grocery,405,209.09,27.3,No,No,11.1,5,4,2024,284,61563.41
2022-04-29,1057,Product_50,1,Electronics,276,5.96,10.2,Yes,No,32.3,4,4,2022,227,1477.17
2025-02-21,1058,Product_54,3,Toys,48,476.7,28.9,No,No,33.8,4,2,2025,96,16268.82
2024-05-11,1038,Product_30,11,Grocery,463,14.89,8.7,No,No,2.9,5,5,2024,440,6294.29
2024-08-10,1012,Product_47,5,Grocery,146,212.2,33.2,Yes,No,10.9,5,8,2024,61,20695.44
2024-04-28,1057,Product_22,3,Electronics,488,360.15,8.8,Yes,No,5.7,6,4,2024,467,160286.92
2024-04-10,1089,Product_28,5,Clothing,127,457.73,27.9,No,No,0.5,2,4,2024,118,41912.96
2022-05-16,1009,Product_45,4,Toys,71,357.88,31.3,No,Yes,24.1,0,5,2022,77,17456.31
2024-04-18,1088,Product_5,3,Clothing,127,234.49,7.6,No,No,10.6,3,4,2024,180,27516.93
2025-04-07,1041,Product_42,2,Home,14,487.35,9.5,No,No,5.1,0,4,2025,12,6174.72
2023-04-01,1053,Product_1,11,Electronics,39,24.46,31.2,No,No,34.0,5,4,2023,16,656.31
2024-06-23,1016,Product_35,12,Electronics,82,493.51,3.4,No,No,28.7,6,6,2024,101,39091.91
2022-02-16,1062,Product_29,7,Home,367,425.45,7.6,Yes,No,29.8,2,2,2022,349,144273.5
2023-06-06,1018,Product_28,9,Electronics,382,464.82,18.2,No,No,-3.2,1,6,2023,409,145245.09
2023-10-18,1027,Product_30,13,Clothing,149,131.11,37.2,No,No,36.2,2,10,2023,131,12268.22
2026-01-14,1072,Product_30,12,Grocery,429,75.52,22.5,No,No,20.9,2,1,2026,325,25108.51
2022-11-18,1005,Product_25,1,Electronics,138,333.34,15.5,No,No,17.7,4,11,2022,182,38870.78
2023-02-19,1044,Product_27,14,Clothing,288,260.35,39.1,Yes,No,-4.5,6,2,2023,222,45663.31
2023-09-05,1059,Product_34,1,Toys,158,263.97,18.5,Yes,No,35.4,1,9,2023,174,33991.42
2026-01-28,1013,Product_46,1,Electronics,754,462.69,17.3,Yes,Yes,19.5,2,1,2026,446,288514.05
2025-07-04,1029,Product_33,6,Toys,228,311.94,16.5,Yes,No,32.1,4,7,2025,260,59387.14
2022-02-22,1034,Product_38,11,Clothing,208,158.98,12.5,No,No,24.5,1,2,2022,258,28934.36
2022-12-17,1066,Product_50,2,Home,489,203.03,13.0,Yes,No,30.9,5,12,2022,431,86375.05
2025-05-17,1097,Product_59,5,Electronics,358,71.08,27.5,No,No,26.2,5,5,2025,332,18448.81
2022-03-29,1083,Product_7,4,Toys,67,100.2,1.6,No,No,36.4,1,3,2022,83,6605.99
2025-07-07,1018,Product_43,6,Electronics,128,75.96,27.3,No,No,5.1,0,7,2025,102,7068.53
2023-02-27,1001,Product_14,14,Toys,113,406.09,8.0,No,No,4.1,0,2,2023,176,42217.12
2025-10-08,1005,Product_12,5,Home,49,353.91,15.4,No,No,27.1,2,10,2025,57,14670.99
2023-03-17,1059,Product_47,3,Grocery,416,267.52,5.9,No,No,17.6,4,3,2023,349,104722.31
2023-10-14,1015,Product_5,2,Electronics,312,190.31,22.1,No,No,22.0,5,10,2023,252,46254.46
2024-09-19,1023,Product_51,3,Home,61,335.9,29.2,No,No,26.9,3,9,2024,31,14506.85
2022-07-09,1084,Product_46,2,Electronics,224,407.39,14.2,No,No,19.6,5,7,2022,206,78297.1
2024-04-15,1087,Product_59,9,Home,293,441.21,6.5,No,No,30.4,0,4,2024,416,120871.69
2024-01-28,1083,Product_40,6,Home,343,275.77,9.1,No,No,9.3,6,1,2024,454,85981.5
2025-03-21,1025,Product_52,7,Grocery,611,410.84,32.7,No,No,33.7,4,3,2025,481,168938.64
2026-02-03,1061,Product_7,12,Grocery,513,258.1,10.7,No,No,-0.2,1,2,2026,462,118237.93
2024-09-23,1061,Product_53,9,Grocery,407,239.89,31.0,No,No,23.5,0,9,2024,307,67368.31
2023-09-06,1018,Product_10,3,Grocery,465,433.39,13.2,No,No,35.1,2,9,2023,464,174924.87
2023-09-02,1055,Product_19,6,Electronics,446,196.26,7.5,No,No,6.4,5,9,2023,478,80967.06
2023-09-19,1052,Product_8,5,Grocery,693,200.98,29.1,No,Yes,9.7,1,9,2023,321,98748.91
2025-05-06,1039,Product_24,12,Home,233,155.93,18.7,No,No,8.7,1,5,2025,212,29537.66
2023-04-27,1075,Product_45,5,Grocery,515,261.76,1.3,No,No,20.4,3,4,2023,483,133053.92
2022-09-08,1067,Product_16,2,Home,236,274.7,38.4,No,No,13.6,3,9,2022,213,39934.79
2023-05-17,1053,Product_49,11,Toys,59,331.93,5.9,Yes,No,-0.1,2,5,2023,91,18428.42
2022-02-04,1072,Product_36,6,Home,100,218.1,14.1,No,Yes,35.1,4,2,2022,62,18734.79
2022-06-09,1076,Product_38,2,Clothing,284,112.83,15.4,No,No,4.2,3,6,2022,288,27108.99
2022-05-16,1056,Product_56,10,Grocery,27,434.09,19.6,No,No,19.0,0,5,2022,27,9423.23
2025-03-03,1026,Product_26,3,Toys,59,176.27,31.4,No,No,21.8,0,3,2025,68,7134.35
2024-12-19,1075,Product_21,13,Grocery,153,461.86,0.2,No,No,-3.2,3,12,2024,129,70523.25
2024-11-11,1071,Product_59,12,Clothing,299,107.64,37.3,No,No,-0.7,0,11,2024,269,20179.59
2023-11-24,1098,Product_33,6,Clothing,250,282.23,25.8,Yes,No,38.7,4,11,2023,244,52353.66
2024-12-11,1014,Product_37,8,Home,338,270.62,38.0,Yes,No,24.9,2,12,2024,260,56711.13
2022-08-30,1041,Product_18,8,Clothing,221,415.18,32.7,No,No,-3.5,1,8,2022,258,61750.97
2025-09-12,1092,Product_13,10,Home,527,73.73,37.1,No,No,30.7,4,9,2025,497,24440.24
2024-01-22,1051,Product_11,1,Toys,98,455.42,24.0,No,No,17.9,0,1,2024,116,33919.68
2025-11-08,1094,Product_14,5,Grocery,463,268.06,14.3,Yes,Yes,-1.6,5,11,2025,242,106363.8
2022-08-17,1001,Product_12,3,Toys,315,295.12,17.7,No,Yes,25.6,2,8,2022,310,76508.38
2024-01-16,1003,Product_45,10,Electronics,164,257.53,26.3,No,No,17.5,1,1,2024,144,31127.14
2024-11-10,1079,Product_4,1,Toys,123,22.83,17.1,No,No,4.2,6,11,2024,98,2327.91
2024-01-14,1035,Product_38,8,Electronics,61,251.06,29.3,No,No,34.5,6,1,2024,32,10827.46
2023-11-01,1052,Product_57,11,Toys,110,135.46,3.7,No,No,8.1,2,11,2023,169,14349.28
2022-09-07,1042,Product_46,14,Grocery,224,174.63,33.2,No,No,7.8,2,9,2022,134,26130.24
2023-07-26,1040,Product_24,5,Toys,64,326.31,8.2,No,No,7.3,2,7,2023,105,19171.37
2022-12-25,1093,Product_4,1,Electronics,158,251.36,37.8,Yes,No,29.5,6,12,2022,142,24702.66
2023-03-29,1009,Product_50,11,Clothing,335,51.14,6.2,Yes,No,26.8,2,3,2023,351,16069.72
2024-10-22,1077,Product_1,1,Toys,253,41.16,5.2,No,No,35.6,1,10,2024,415,9871.98
2024-08-03,1088,Product_41,1,Electronics,265,96.9,32.5,No,No,5.3,5,8,2024,263,17332.99
2024-06-29,1065,Product_40,14,Grocery,93,99.49,32.7,No,No,30.4,5,6,2024,42,6226.98
2023-06-27,1039,Product_12,13,Electronics,338,306.11,29.6,No,No,20.8,1,6,2023,370,72839.49
2025-12-10,1016,Product_44,10,Grocery,145,93.02,38.4,No,No,8.9,2,12,2025,84,8308.55
2022-05-12,1068,Product_11,12,Grocery,72,441.45,10.8,No,Yes,-3.4,3,5,2022,38,28351.68
2023-05-29,1046,Product_14,2,Home,309,108.83,33.1,No,No,31.9,0,5,2023,288,22497.45
2022-06-27,1014,Product_48,2,Grocery,268,50.11,14.1,No,No,5.8,0,6,2022,218,11535.92
2023-05-24,1035,Product_58,5,Electronics,218,438.49,21.5,No,Yes,23.4,2,5,2023,162,75038.79
2025-12-13,1096,Product_16,1,Electronics,452,151.19,17.8,No,No,19.7,5,12,2025,483,56173.74
2023-07-04,1026,Product_55,13,Toys,42,215.58,0.2,No,No,-4.8,1,7,2023,54,9036.25
2025-09-24,1017,Product_54,1,Toys,36,479.72,23.0,No,Yes,39.7,2,9,2025,36,13297.84
2024-01-13,1068,Product_46,8,Grocery,431,472.46,29.9,Yes,No,31.6,5,1,2024,297,142744.81
2024-11-15,1019,Product_9,12,Electronics,194,358.88,7.0,No,No,16.9,4,11,2024,215,64749.13
2023-11-18,1091,Product_18,11,Electronics,478,39.12,37.3,No,No,25.6,5,11,2023,402,11724.5
2023-02-03,1085,Product_40,4,Toys,38,298.7,21.2,No,Yes,16.4,4,2,2023,29,8944.27
2025-02-20,1098,Product_59,7,Home,266,494.59,7.1,Yes,No,28.5,3,2,2025,215,122220.11
2025-12-24,1091,Product_49,8,Home,72,473.72,25.8,No,No,1.0,2,12,2025,81,25308.02
2023-01-31,1024,Product_25,11,Grocery,61,57.47,7.7,No,No,15.1,1,1,2023,30,3235.73
2025-03-14,1021,Product_14,6,Home,184,201.0,2.5,No,No,10.1,4,3,2025,236,36059.4
2023-01-27,1034,Product_57,4,Electronics,371,161.19,27.4,No,No,15.7,4,1,2023,370,43415.88
2024-12-11,1046,Product_17,12,Home,131,69.22,4.4,Yes,No,15.3,2,12,2024,87,8668.84
2025-03-29,1087,Product_21,13,Clothing,287,348.93,4.2,No,No,1.4,5,3,2025,422,95936.91
2023-11-06,1073,Product_57,7,Grocery,348,140.55,29.6,No,No,38.9,0,11,2023,264,34433.63
2025-01-10,1064,Product_34,1,Home,237,175.71,2.2,Yes,No,-4.3,4,1,2025,245,40727.12
2023-02-13,1087,Product_16,8,Home,452,49.73,32.4,No,No,-4.5,0,2,2023,462,15195.1
2022-04-29,1064,Product_1,13,Clothing,128,251.49,31.8,No,No,11.8,4,4,2022,171,21954.07
2022-05-25,1037,Product_26,14,Electronics,135,83.29,5.7,Yes,No,22.9,2,5,2022,108,10603.23
2023-11-02,1041,Product_59,6,Electronics,414,218.88,20.7,No,No,3.1,3,11,2023,395,71858.74
2025-09-15,1051,Product_26,3,Toys,57,75.95,3.9,No,No,19.0,0,9,2025,62,4160.31
2022-07-11,1008,Product_42,9,Grocery,574,477.16,25.3,No,No,27.5,0,7,2022,437,204595.71
2023-11-15,1074,Product_15,12,Grocery,460,76.77,2.5,No,No,-0.8,2,11,2023,414,34431.34
2024-11-22,1065,Product_46,14,Home,645,263.33,37.8,Yes,No,39.3,4,11,2024,488,105645.36
2022-10-31,1073,Product_46,1,Grocery,458,102.51,8.3,No,Yes,10.2,0,10,2022,235,43052.76
2024-12-18,1053,Product_36,5,Grocery,427,42.8,27.3,No,No,23.9,2,12,2024,314,13286.36
2023-04-04,1078,Product_46,7,Home,450,105.14,5.1,Yes,No,-0.0,1,4,2023,442,44900.04
2025-04-27,1094,Product_35,2,Clothing,80,32.11,8.4,No,No,26.9,6,4,2025,74,2353.02
2024-05-18,1056,Product_23,13,Home,248,74.0,18.0,Yes,No,32.8,5,5,2024,160,15048.64
2024-03-31,1044,Product_44,2,Electronics,251,249.27,22.9,No,No,-0.3,6,3,2024,241,48238.98
2022-09-23,1010,Product_50,10,Clothing,291,327.65,40.0,No,No,0.7,4,9,2022,317,57207.69
2023-11-26,1077,Product_50,13,Clothing,368,48.23,1.0,No,Yes,7.6,6,11,2023,342,17571.15
2025-07-08,1090,Product_13,10,Home,334,223.3,0.0,No,No,-4.5,1,7,2025,462,74582.2
2022-01-30,1069,Product_40,11,Electronics,310,292.72,14.0,Yes,No,39.4,6,1,2022,249,78039.15
2025-02-11,1086,Product_1,4,Electronics,121,120.94,14.6,No,No,21.9,1,2,2025,94,12497.21
2024-01-10,1086,Product_34,12,Home,121,189.18,35.4,No,No,22.3,2,1,2024,103,14787.44
2024-12-15,1079,Product_34,6,Home,446,40.56,36.5,No,No,38.2,6,12,2024,402,11487.0
2024-09-21,1050,Product_22,1,Toys,167,113.96,35.2,No,No,32.4,5,9,2024,235,12332.3
2023-10-11,1009,Product_59,6,Grocery,612,236.04,5.7,Yes,Yes,31.6,2,10,2023,319,136222.46
2023-04-09,1000,Product_53,5,Toys,215,495.27,16.5,Yes,No,10.3,6,4,2023,285,88913.35
2024-07-29,1020,Product_3,8,Grocery,747,498.15,29.8,Yes,No,10.1,0,7,2024,408,261226.87
2022-07-30,1043,Product_13,4,Home,123,489.91,12.5,Yes,No,8.1,5,7,2022,117,52726.56
2024-05-26,1074,Product_13,7,Electronics,125,214.43,26.5,Yes,No,10.6,6,5,2024,93,19700.76
2022-05-23,1045,Product_53,6,Toys,220,44.94,9.5,No,No,11.6,0,5,2022,369,8947.55
2024-09-01,1002,Product_31,5,Grocery,306,165.17,12.9,No,No,1.3,6,9,2024,222,44022.1
2024-08-01,1021,Product_44,10,Toys,313,122.67,34.4,No,No,11.0,3,8,2024,409,25187.59
2022-05-07,1097,Product_48,5,Grocery,99,11.99,10.0,No,No,15.1,5,5,2022,73,1068.31
2025-02-10,1098,Product_46,11,Home,188,52.14,38.6,No,No,8.9,0,2,2025,143,6018.62
2023-09-16,1037,Product_6,4,Clothing,384,229.33,12.3,No,No,2.4,5,9,2023,480,77231.01
2025-03-26,1080,Product_9,13,Electronics,366,173.13,0.9,No,No,11.8,2,3,2025,423,62795.29
2022-03-04,1071,Product_24,6,Electronics,89,94.28,10.2,No,Yes,16.6,4,3,2022,40,7535.05
2022-09-27,1093,Product_20,1,Home,458,359.47,6.8,No,Yes,27.4,1,9,2022,410,153441.93
2024-01-11,1088,Product_45,3,Electronics,69,181.77,20.3,No,No,27.0,3,1,2024,42,9996.08
2022-10-10,1062,Product_10,12,Grocery,82,426.67,4.5,No,No,4.1,0,10,2022,68,33412.53
2023-05-10,1039,Product_22,13,Clothing,405,124.28,25.0,No,No,-3.4,2,5,2023,450,37750.05
